98:f4:28:e5:e5:0d,1.649257461659E9,1.649257521701E9,570696,3558490434
34:4d:ea:d8:e8:86,1.649284611722E9,1.649284687309E9,7570,3540204837
a0:65:18:2f:29:2c,1.649257461648E9,1.649257521649E9,19723383,3525634355
d4:9a:a0:03:31:c7,1.649257461739E9,1.649257521745E9,15965940,3397182856
a0:65:18:72:74:08,1.649257463234E9,1.649257527232E9,1778597,3344343536
a0:65:18:49:2e:8e,1.649257461648E9,1.649257521649E9,55662,3285256896
98:f4:28:ea:b5:88,1.649257461739E9,1.649257521781E9,34687932,3230349664
98:f4:28:da:7e:6d,1.649257461784E9,1.649257522375E9,5816,3120497450
14:49:bc:0c:5c:23,1.649257462551E9,1.64925752323E9,3830,3105627246
a0:65:18:49:67:64,1.649257461646E9,1.649257521646E9,49321632,3006465663
00:1d:aa:00:00:01,1.649257461646E9,1.649257521648E9,77777347,2966535849
d4:9a:a0:86:5b:c0,1.649257462069E9,1.649257522759E9,15019,2961500624
d4:9a:a0:63:c8:c8,1.64925746165E9,1.64925752165E9,9477071,2888834943
d4:9a:a0:d5:e3:49,1.649257461713E9,1.649257521717E9,23061423,2809533324
a0:65:18:65:78:b2,1.649257461664E9,1.649257521667E9,42451021,2780755189
a0:65:18:98:d9:e1,1.649257461668E9,1.649257521842E9,44073002,2724578631
a4:f4:c2:ae:15:2d,1.649257461679E9,1.649257521694E9,29164733,2710963925
a0:65:18:75:31:ec,1.649257461646E9,1.649257521652E9,24318876,2685055115
a0:65:18:35:3a:07,1.649257461649E9,1.649257521652E9,691907,2673147952
24:43:e2:57:21:a1,1.649257465778E9,1.649257526218E9,10186,2626063434
a4:f4:c2:1a:8d:67,1.649257461708E9,1.649257521815E9,28850818,2564996259
98:f4:28:da:bb:03,1.649257461689E9,1.649257521691E9,23372787,2527710333
a0:65:18:78:af:b6,1.649257462137E9,1.649257524033E9,0,2509665578
a4:f4:c2:19:c9:29,1.64925746344E9,1.649257523692E9,145060,2449121839
a0:65:18:75:b8:9b,1.649257464386E9,1.649257525651E9,156,2415807931
34:4d:ea:d8:c3:96,1.649257461819E9,1.649257522111E9,1618,2382636928
00:09:0f:17:e3:2e,1.649257461658E9,1.649257521841E9,4016895,2375121108
a4:f4:c2:9f:c9:6d,1.649257461694E9,1.649257521698E9,80560,2329019048
cc:71:90:00:4e:41,1.649257461646E9,1.649257521647E9,26587157,2320923127
a4:f4:c2:c2:ad:30,1.649257465896E9,1.649257526091E9,194663,2289892362
d8:38:0d:e3:45:11,1.64925746165E9,1.649257521653E9,37163,2203842441
a0:65:18:32:13:91,1.649257461645E9,1.649257521647E9,27120867,2201411402
a0:65:18:74:ca:c1,1.649257462005E9,1.649257522499E9,0,2160017560
98:f4:28:e1:8f:29,1.649257461654E9,1.649257521654E9,39937005,2076973778
94:a7:b7:d3:0e:7e,1.649257461659E9,1.649257521713E9,52576566,2055600474
a4:f4:c2:1a:13:1b,1.649257462332E9,1.649257522393E9,23286128,2030620613
